,data,casos_novos,taxa_de_crescimento_casos,media_movel_casos
1601763,2021-06-12,0,-2.0,4.571428571428571
1601988,2021-06-13,18,18.0,7.0
1602213,2021-06-14,21,3.0,10.0
1602438,2021-06-15,3,-18.0,8.285714285714286
1602663,2021-06-16,6,3.0,9.142857142857142
1602888,2021-06-17,0,-6.0,7.142857142857143
1603113,2021-06-18,2,2.0,7.142857142857143
1603338,2021-06-19,19,17.0,9.857142857142858
1603563,2021-06-20,4,-15.0,7.857142857142857
1603788,2021-06-21,0,-4.0,4.857142857142857
1604013,2021-06-22,1,1.0,4.571428571428571
1604238,2021-06-23,6,5.0,4.571428571428571
1604463,2021-06-24,5,-1.0,5.285714285714286
1604688,2021-06-25,15,10.0,7.142857142857143
1604913,2021-06-26,4,-11.0,5.0
1605138,2021-06-27,2,-2.0,4.714285714285714
1605363,2021-06-28,1,-1.0,4.857142857142857
1605588,2021-06-29,6,5.0,5.571428571428571
1605813,2021-06-30,2,-4.0,5.0
1606038,2021-07-01,3,1.0,4.714285714285714
1606263,2021-07-02,0,-3.0,2.5714285714285716
1606488,2021-07-03,2,2.0,2.2857142857142856
1606713,2021-07-04,3,1.0,2.4285714285714284
1606938,2021-07-05,0,-3.0,2.2857142857142856
1607163,2021-07-06,0,0.0,1.4285714285714286
1607388,2021-07-07,4,4.0,1.7142857142857142
1607613,2021-07-08,3,-1.0,1.7142857142857142
1607838,2021-07-09,0,-3.0,1.7142857142857142
1608063,2021-07-10,0,0.0,1.4285714285714286
1608288,2021-07-11,2,2.0,1.2857142857142858
1608513,2021-07-12,0,-2.0,1.2857142857142858
1608738,2021-07-13,0,0.0,1.2857142857142858
1608963,2021-07-14,4,4.0,1.2857142857142858
1609188,2021-07-15,6,2.0,1.7142857142857142
1609413,2021-07-16,2,-4.0,2.0
1609638,2021-07-17,0,-2.0,2.0
1609863,2021-07-18,6,6.0,2.5714285714285716
1610088,2021-07-19,2,-4.0,2.857142857142857
1610313,2021-07-20,3,1.0,3.2857142857142856
1610538,2021-07-21,2,-1.0,3.0
1610763,2021-07-22,6,4.0,3.0
1610988,2021-07-23,0,-6.0,2.7142857142857144
1611213,2021-07-24,0,0.0,2.7142857142857144
1611438,2021-07-25,3,3.0,2.2857142857142856
1611663,2021-07-26,0,-3.0,2.0
1611888,2021-07-27,0,0.0,1.5714285714285714
1612113,2021-07-28,0,0.0,1.2857142857142858
1612338,2021-07-29,4,4.0,1.0
1612563,2021-07-30,1,-3.0,1.1428571428571428
1612788,2021-07-31,0,-1.0,1.1428571428571428
1613013,2021-08-01,0,0.0,0.7142857142857143
1613238,2021-08-02,0,0.0,0.7142857142857143
1613463,2021-08-03,0,0.0,0.7142857142857143
1613688,2021-08-04,-1,-1.0,0.5714285714285714
1613913,2021-08-05,1,2.0,0.14285714285714285
1614138,2021-08-06,0,-1.0,0.0
1614363,2021-08-07,0,0.0,0.0
1614588,2021-08-08,2,2.0,0.2857142857142857
1614813,2021-08-09,0,-2.0,0.2857142857142857
1615038,2021-08-10,0,0.0,0.2857142857142857
1615263,2021-08-11,0,0.0,0.42857142857142855
1615488,2021-08-12,0,0.0,0.2857142857142857
1615713,2021-08-13,4,4.0,0.8571428571428571
1615938,2021-08-14,0,-4.0,0.8571428571428571
1616163,2021-08-15,2,2.0,0.8571428571428571
1616388,2021-08-16,0,-2.0,0.8571428571428571
1616613,2021-08-17,0,0.0,0.8571428571428571
1616838,2021-08-18,1,1.0,1.0
1617063,2021-08-19,0,-1.0,1.0
1617288,2021-08-20,0,0.0,0.42857142857142855
1617513,2021-08-21,5,5.0,1.1428571428571428
1617738,2021-08-22,1,-4.0,1.0
1617963,2021-08-23,0,-1.0,1.0
1618188,2021-08-24,0,0.0,1.0
1618413,2021-08-25,0,0.0,0.8571428571428571
1618638,2021-08-26,0,0.0,0.8571428571428571
1618863,2021-08-27,0,0.0,0.8571428571428571
