data,casos_novos,taxa_de_crescimento_casos,media_movel_casos
2020-05-13,-36,-153.0,52.0
2020-05-14,54,90.0,49.857142857142854
2020-05-15,65,11.0,48.142857142857146
2020-05-16,82,17.0,52.285714285714285
2020-05-17,48,-34.0,47.857142857142854
2020-05-18,77,29.0,58.142857142857146
2020-05-19,72,-5.0,51.714285714285715
2020-05-20,0,-72.0,56.857142857142854
2020-05-21,0,0.0,49.142857142857146
2020-05-22,274,274.0,79.0
2020-05-23,108,-166.0,82.71428571428571
2020-05-24,-1,-109.0,75.71428571428571
2020-05-25,82,83.0,76.42857142857143
2020-05-26,1,-81.0,66.28571428571429
2020-05-27,240,239.0,100.57142857142857
2020-05-28,120,-120.0,117.71428571428571
2020-05-29,155,35.0,100.71428571428571
2020-05-30,103,-52.0,100.0
2020-05-31,146,43.0,121.0
2020-06-01,124,-22.0,127.0
2020-06-02,248,124.0,162.28571428571428
2020-06-03,0,-248.0,128.0
2020-06-04,572,572.0,192.57142857142858
2020-06-05,295,-277.0,212.57142857142858
2020-06-06,210,-85.0,227.85714285714286
2020-06-07,213,3.0,237.42857142857142
2020-06-08,205,-8.0,249.0
2020-06-09,218,13.0,244.71428571428572
2020-06-10,215,-3.0,275.42857142857144
2020-06-11,94,-121.0,207.14285714285714
2020-06-12,49,-45.0,172.0
2020-06-13,2,-47.0,142.28571428571428
2020-06-14,1,-1.0,112.0
2020-06-15,36,35.0,87.85714285714286
2020-06-16,178,142.0,82.14285714285714
2020-06-17,157,-21.0,73.85714285714286
2020-06-18,47,-110.0,67.14285714285714
2020-06-19,280,233.0,100.14285714285714
2020-06-20,51,-229.0,107.14285714285714
2020-06-21,38,-13.0,112.42857142857143
2020-06-22,1612,1574.0,337.57142857142856
2020-06-23,347,-1265.0,361.7142857142857
